'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Key value 1,"",'0,'51.95312500
'1,'Figure 1,"",'1,'89.69726563
'1,'Page number 1,"'HTS",'2,'77.34375000
'1,'Section header 1,"'HIV TESTING",'3,'52.34375000
'1,'Text 1,"'The Department of Health (DOH) has an existing program for the prevention and control of the Human Immunodeficiency Virus (HIV) in the Philippines. The Epidemiology Bureau (EB) of DOH is mandated by Republic Act 11166 & 11332 to collect information that will be used in planning activities to help stop the spread of HIV and to support and treat those diagnosed with HIV. Your full cooperation is very important to this program. Please answer all questions as honestly as possible.",'4,'94.87304688
'1,'Section header 2,"'ABOUT THE TEST",'5,'57.27539063
'1,'Text 2,"'What is HIV testing?",'6,'39.08691406
'1,'Text 3,"'An HIV test refers to a procedure used to identify if you have antibodies to HIV - the virus that causes AIDS. A specimen, usually blood, and a DOH-Food and Drug Administration (FDA)-registered diagnostic kit is needed to perform the test. The test may be performed by a trained/supervised healthcare worker or lay person, or by oneself, depending on the modality.",'7,'89.45312500
'1,'Text 4,"'If the first test (screening) is reactive, another test (confirmatory) will be done to make sure that the first test is confirmed to be positive. A positive test means you have been infected with HIV. A non-reactive or negative test means you are not infected or your body has not produced the sufficient level of antibodies (within window period) that can be detected by the HIV rapid diagnostic test kits If you are non-reactive or negative, and had a recent exposure within the window period, you need to undergo another test 4 weeks after your risk exposure.",'8,'90.47851563
'1,'Section header 3,"'Confidentiality of HIV Testing",'9,'42.26074219
'1,'Text 5,"'Your personal information and HIV test result is confidential adherent to the provisions of RA 11166 Philippine HIV and AIDS Policy Act, RA 10173 Data Privacy Act of 2012 and its IRR of 2016",'10,'84.08203125
'1,'Section header 4,"'INFORMED CONSENT",'11,'64.06250000
'1,'Key value 2,"",'12,'36.93847656
'1,'Section header 5,"'PERSONAL INFORMATION SHEET (HTS FORM)",'13,'53.02734375
'1,'Text 6,"'All information given will be STRICTLY CONFIDENTIAL. Please fill out this form COMPLETELY and as honestly as possible. Please write in CAPITAL LETTERS and CHECK the appropriate boxes.",'14,'65.47851563
'1,'Section header 6,"'DEMOGRAPHIC DATA",'15,'50.48828125
'1,'Key value 3,"",'16,'88.47656250
'1,'Footer 1,"'PERSONAL INFORMATION SHEET (HTS FORM 2021)",'17,'74.16992188
'1,'Figure 2,"",'18,'28.97949219
